league_id,season,team_id,team_name,player_id,player_name,matches_played,minutes,goals,assists,shots_total,shots_on,goal_contributions,goals_per_90
140,2024,529,Barcelona,521,Robert Lewandowski,5,412.0,4.0,2.0,16.0,8.0,6.0,0.8737864077669902
140,2024,529,Barcelona,386828,Lamine Yamal,5,443.0,3.0,4.0,11.0,7.0,7.0,0.6094808126410836
140,2024,529,Barcelona,1496,Raphinha,5,450.0,3.0,2.0,11.0,7.0,5.0,0.6
140,2024,529,Barcelona,1323,Dani Olmo,3,189.0,3.0,0.0,8.0,4.0,3.0,1.4285714285714286
140,2024,531,Athletic Club,128398,Oihan Sancet,5,376.0,3.0,0.0,6.0,4.0,3.0,0.7180851063829787
140,2024,533,Villarreal,18906,Ayoze Pérez,5,248.0,3.0,0.0,9.0,3.0,3.0,1.0887096774193548
140,2024,534,Las Palmas,47324,Sandro Ramírez,5,312.0,3.0,0.0,7.0,5.0,3.0,0.8653846153846154
140,2024,538,Celta Vigo,47348,Borja Iglesias,5,243.0,3.0,0.0,4.0,4.0,3.0,1.1111111111111112
140,2024,540,Espanyol,47349,Javi Puado,5,431.0,3.0,0.0,10.0,3.0,3.0,0.6264501160092807
140,2024,541,Real Madrid,278,Kylian Mbappé,5,439.0,3.0,0.0,19.0,12.0,3.0,0.6150341685649203
140,2024,538,Celta Vigo,162712,Óscar Mingueza,5,405.0,2.0,3.0,4.0,3.0,5.0,0.4444444444444444
140,2024,530,Atletico Madrid,56,Antoine Griezmann,5,364.0,2.0,2.0,5.0,3.0,4.0,0.4945054945054945
140,2024,538,Celta Vigo,47445,Iago Aspas,5,377.0,2.0,2.0,9.0,5.0,4.0,0.47745358090185674
140,2024,530,Atletico Madrid,753,Marcos Llorente,5,405.0,2.0,1.0,3.0,2.0,3.0,0.4444444444444444
140,2024,541,Real Madrid,762,Vinícius Júnior,5,439.0,2.0,1.0,8.0,3.0,3.0,0.41002277904328016
140,2024,529,Barcelona,133609,Pedri,5,335.0,2.0,0.0,3.0,2.0,2.0,0.5373134328358209
140,2024,532,Valencia,47264,Hugo Duro,4,346.0,2.0,0.0,9.0,4.0,2.0,0.5202312138728323
140,2024,533,Villarreal,83,Arnaut Danjuma,3,203.0,2.0,0.0,4.0,3.0,2.0,0.8866995073891626
140,2024,537,Leganes,185202,Juan Cruz,5,247.0,2.0,0.0,4.0,3.0,2.0,0.728744939271255
140,2024,542,Alaves,47181,Toni Martínez,3,72.0,2.0,0.0,6.0,4.0,2.0,2.5
140,2024,547,Girona,155,Abel Ruíz,5,373.0,2.0,0.0,9.0,5.0,2.0,0.48257372654155495
140,2024,547,Girona,2617,Cristhian Stuani,5,56.0,2.0,0.0,3.0,2.0,2.0,3.2142857142857144
140,2024,720,Valladolid,264470,Raúl Moro,5,336.0,2.0,0.0,6.0,3.0,2.0,0.5357142857142857
140,2024,728,Rayo Vallecano,47285,Unai López,5,218.0,2.0,0.0,3.0,3.0,2.0,0.8256880733944955
140,2024,529,Barcelona,931,Ferran Torres,5,206.0,1.0,1.0,4.0,3.0,2.0,0.4368932038834951
140,2024,529,Barcelona,1257,Jules Koundé,5,450.0,1.0,1.0,3.0,1.0,2.0,0.2
140,2024,530,Atletico Madrid,8492,Alexander Sørloth,5,208.0,1.0,1.0,11.0,5.0,2.0,0.4326923076923077
140,2024,532,Valencia,162127,Diego López,5,405.0,1.0,1.0,1.0,1.0,2.0,0.2222222222222222
140,2024,533,Villarreal,70500,Sergi Cardona,5,446.0,1.0,1.0,3.0,1.0,2.0,0.20179372197309417
140,2024,538,Celta Vigo,269163,Williot Swedberg,5,189.0,1.0,1.0,7.0,5.0,2.0,0.47619047619047616
140,2024,538,Celta Vigo,329720,Hugo Álvarez,5,392.0,1.0,1.0,3.0,3.0,2.0,0.22959183673469388
140,2024,541,Real Madrid,744,Brahim Díaz,5,124.0,1.0,1.0,1.0,1.0,2.0,0.7258064516129032
140,2024,541,Real Madrid,756,Federico Valverde,5,450.0,1.0,1.0,6.0,3.0,2.0,0.2
140,2024,541,Real Madrid,10009,Rodrygo,5,359.0,1.0,1.0,5.0,4.0,2.0,0.25069637883008355
140,2024,547,Girona,2182,Viktor Tsygankov,4,263.0,1.0,1.0,3.0,1.0,2.0,0.34220532319391633
140,2024,728,Rayo Vallecano,15900,Abdul Mumin,5,450.0,1.0,1.0,1.0,1.0,2.0,0.2
140,2024,728,Rayo Vallecano,128582,Jorge de Frutos,5,299.0,1.0,1.0,2.0,1.0,2.0,0.3010033444816054
140,2024,798,Mallorca,46742,Dani Rodríguez,6,337.0,1.0,1.0,4.0,1.0,2.0,0.26706231454005935
140,2024,798,Mallorca,50048,Vedat Muriqi,6,469.0,1.0,1.0,12.0,6.0,2.0,0.19189765458422176
140,2024,530,Atletico Madrid,50,Koke,5,363.0,1.0,0.0,2.0,2.0,1.0,0.24793388429752067
140,2024,530,Atletico Madrid,53,Ángel Correa,5,120.0,1.0,0.0,1.0,1.0,1.0,0.75
140,2024,530,Atletico Madrid,6009,Julián Álvarez,5,237.0,1.0,0.0,4.0,2.0,1.0,0.379746835443038
140,2024,530,Atletico Madrid,67972,Conor Gallagher,4,192.0,1.0,0.0,2.0,1.0,1.0,0.46875
140,2024,531,Athletic Club,182617,Beñat Prados,5,301.0,1.0,0.0,2.0,2.0,1.0,0.29900332225913623
140,2024,531,Athletic Club,183799,Nico Williams,5,301.0,1.0,0.0,8.0,4.0,1.0,0.29900332225913623
140,2024,531,Athletic Club,183849,Aitor Paredes,3,171.0,1.0,0.0,1.0,1.0,1.0,0.5263157894736842
140,2024,533,Villarreal,928,Dani Parejo,5,315.0,1.0,0.0,2.0,2.0,1.0,0.2857142857142857
140,2024,533,Villarreal,21997,Logan Costa,4,212.0,1.0,0.0,1.0,1.0,1.0,0.42452830188679247
140,2024,533,Villarreal,343684,Thierno Barry,4,236.0,1.0,0.0,7.0,3.0,1.0,0.3813559322033898
140,2024,534,Las Palmas,47052,Álex Muñoz,5,192.0,1.0,0.0,2.0,1.0,1.0,0.46875
140,2024,534,Las Palmas,182519,Alberto Moleiro,5,349.0,1.0,0.0,10.0,8.0,1.0,0.25787965616045844
140,2024,536,Sevilla,2054,Jesús Navas,5,143.0,1.0,0.0,2.0,2.0,1.0,0.6293706293706294
140,2024,536,Sevilla,25458,Dodi Lukebakio,5,303.0,1.0,0.0,9.0,6.0,1.0,0.297029702970297
140,2024,536,Sevilla,182772,Juanlu Sánchez,5,264.0,1.0,0.0,2.0,1.0,1.0,0.3409090909090909
140,2024,537,Leganes,129657,Enric Franquesa,5,249.0,1.0,0.0,1.0,1.0,1.0,0.3614457831325301
140,2024,538,Celta Vigo,26845,Anastasios Douvikas,5,207.0,1.0,0.0,6.0,4.0,1.0,0.43478260869565216
140,2024,538,Celta Vigo,47435,Fran Beltrán,5,322.0,1.0,0.0,2.0,1.0,1.0,0.2795031055900621
140,2024,538,Celta Vigo,47988,Carl Starfelt,5,285.0,1.0,0.0,2.0,1.0,1.0,0.3157894736842105
140,2024,540,Espanyol,184420,Carlos Romero,5,416.0,1.0,0.0,2.0,1.0,1.0,0.21634615384615385
140,2024,540,Espanyol,311344,Alejo Véliz,5,371.0,1.0,0.0,10.0,4.0,1.0,0.24258760107816713
140,2024,541,Real Madrid,377122,Endrick,5,29.0,1.0,0.0,4.0,2.0,1.0,3.103448275862069
140,2024,542,Alaves,6233,Nahuel Tenaglia,5,360.0,1.0,0.0,1.0,1.0,1.0,0.25
140,2024,542,Alaves,47396,Kike García,5,312.0,1.0,0.0,7.0,2.0,1.0,0.28846153846153844
140,2024,542,Alaves,51241,Tomás Conechny,5,271.0,1.0,0.0,7.0,4.0,1.0,0.33210332103321033
140,2024,542,Alaves,104853,Asier Villalibre,5,85.0,1.0,0.0,4.0,2.0,1.0,1.0588235294117647
140,2024,542,Alaves,187214,Carlos Vicente,5,439.0,1.0,0.0,5.0,2.0,1.0,0.20501138952164008
140,2024,543,Real Betis,1561,Marc Bartra,2,176.0,1.0,0.0,1.0,1.0,1.0,0.5113636363636364
140,2024,543,Real Betis,181421,Abdessamad Ezzalzouli,4,231.0,1.0,0.0,9.0,5.0,1.0,0.38961038961038963
140,2024,543,Real Betis,340279,Vitor Roque,2,61.0,1.0,0.0,2.0,2.0,1.0,1.4754098360655739
140,2024,546,Getafe,403554,Christantus Uche,4,353.0,1.0,0.0,3.0,1.0,1.0,0.254957507082153
140,2024,547,Girona,1700,Iván Martín,5,386.0,1.0,0.0,1.0,1.0,1.0,0.23316062176165803
140,2024,547,Girona,2061,Bryan Gil,5,395.0,1.0,0.0,11.0,5.0,1.0,0.22784810126582278
140,2024,547,Girona,336674,Gabriel Misehouy,5,20.0,1.0,0.0,1.0,1.0,1.0,4.5
140,2024,548,Real Sociedad,32862,Takefusa Kubo,6,376.0,1.0,0.0,3.0,1.0,1.0,0.2393617021276596
140,2024,548,Real Sociedad,47315,Martín Zubimendi,6,495.0,1.0,0.0,4.0,2.0,1.0,0.18181818181818182
140,2024,548,Real Sociedad,47440,Brais Méndez,4,265.0,1.0,0.0,5.0,2.0,1.0,0.33962264150943394
140,2024,727,Osasuna,46658,Rubén García,5,333.0,1.0,0.0,5.0,3.0,1.0,0.2702702702702703
140,2024,727,Osasuna,146751,Raúl García de Haro,5,123.0,1.0,0.0,2.0,1.0,1.0,0.7317073170731707
140,2024,727,Osasuna,181259,Abel Bretones,5,330.0,1.0,0.0,1.0,1.0,1.0,0.2727272727272727
140,2024,727,Osasuna,279822,Flavien Boyomo,2,180.0,1.0,0.0,1.0,1.0,1.0,0.5
140,2024,728,Rayo Vallecano,52,Sergio Camello,5,258.0,1.0,0.0,6.0,4.0,1.0,0.3488372093023256
140,2024,728,Rayo Vallecano,1703,Andrei Rațiu,4,260.0,1.0,0.0,4.0,2.0,1.0,0.34615384615384615
140,2024,728,Rayo Vallecano,47543,Álvaro García,4,241.0,1.0,0.0,7.0,2.0,1.0,0.37344398340248963
140,2024,798,Mallorca,46751,Abdón Prats,6,83.0,1.0,0.0,2.0,1.0,1.0,1.0843373493975903
140,2024,531,Athletic Club,47294,Iñaki Williams,5,419.0,0.0,3.0,5.0,1.0,3.0,0.0
140,2024,533,Villarreal,182219,Alejandro Baena,4,323.0,0.0,2.0,7.0,3.0,2.0,0.0
140,2024,534,Las Palmas,19337,Oliver McBurnie,5,422.0,0.0,2.0,7.0,3.0,2.0,0.0
140,2024,540,Espanyol,46709,Álvaro Tejero,5,255.0,0.0,2.0,3.0,1.0,2.0,0.0
140,2024,529,Barcelona,329728,Marc Casadó,5,241.0,0.0,1.0,2.0,0.0,1.0,0.0
140,2024,529,Barcelona,396623,Pau Cubarsí,5,366.0,0.0,1.0,2.0,0.0,1.0,0.0
140,2024,530,Atletico Madrid,2472,Rodrigo de Paul,5,228.0,0.0,1.0,0.0,0.0,1.0,0.0
140,2024,530,Atletico Madrid,126936,Samuel Lino,5,340.0,0.0,1.0,9.0,4.0,1.0,0.0
140,2024,530,Atletico Madrid,336594,Pablo Barrios,4,315.0,0.0,1.0,6.0,1.0,1.0,0.0
140,2024,531,Athletic Club,47275,Óscar de Marcos,4,167.0,0.0,1.0,0.0,0.0,1.0,0.0
140,2024,531,Athletic Club,47291,Gorka Guruzeta,5,295.0,0.0,1.0,3.0,2.0,1.0,0.0
140,2024,532,Valencia,47013,Rafa Mir,4,241.0,0.0,1.0,3.0,0.0,1.0,0.0
140,2024,533,Villarreal,1707,Gerard Moreno,3,116.0,0.0,1.0,4.0,3.0,1.0,0.0
140,2024,533,Villarreal,47541,Santi Comesaña,5,428.0,0.0,1.0,2.0,0.0,1.0,0.0
140,2024,533,Villarreal,122956,Diego Conde,5,450.0,0.0,1.0,0.0,0.0,1.0,0.0
140,2024,533,Villarreal,184226,Yéremy Pino,5,242.0,0.0,1.0,1.0,0.0,1.0,0.0
140,2024,534,Las Palmas,46860,Javier Muñoz,5,423.0,0.0,1.0,3.0,1.0,1.0,0.0
140,2024,534,Las Palmas,70315,Kirian Rodríguez,5,425.0,0.0,1.0,7.0,4.0,1.0,0.0
140,2024,536,Sevilla,1911,Lucas Ocampos,2,176.0,0.0,1.0,3.0,2.0,1.0,0.0
140,2024,536,Sevilla,47329,Adrià Pedrosa,5,360.0,0.0,1.0,4.0,1.0,1.0,0.0
140,2024,536,Sevilla,185398,Isaac Romero,5,367.0,0.0,1.0,12.0,5.0,1.0,0.0
140,2024,537,Leganes,41976,Yvan Neyou,5,376.0,0.0,1.0,3.0,0.0,1.0,0.0
140,2024,537,Leganes,46849,Javier Hernández,5,427.0,0.0,1.0,4.0,1.0,1.0,0.0
140,2024,537,Leganes,47416,Óscar Rodríguez,5,250.0,0.0,1.0,4.0,1.0,1.0,0.0
140,2024,538,Celta Vigo,320517,Pablo Durán,5,85.0,0.0,1.0,0.0,0.0,1.0,0.0
140,2024,540,Espanyol,128478,Walid Cheddira,3,78.0,0.0,1.0,2.0,1.0,1.0,0.0
140,2024,540,Espanyol,182674,Jofre Carreras,5,255.0,0.0,1.0,2.0,1.0,1.0,0.0
140,2024,541,Real Madrid,372,Éder Militão,5,450.0,0.0,1.0,3.0,2.0,1.0,0.0
140,2024,542,Alaves,46740,Stoichkov,5,288.0,0.0,1.0,3.0,1.0,1.0,0.0
140,2024,542,Alaves,47389,Joan Jordán,1,26.0,0.0,1.0,0.0,0.0,1.0,0.0
140,2024,542,Alaves,162686,Antonio Blanco,5,335.0,0.0,1.0,3.0,1.0,1.0,0.0
140,2024,543,Real Betis,668,Nabil Fekir,2,180.0,0.0,1.0,5.0,1.0,1.0,0.0
140,2024,543,Real Betis,1439,Héctor Bellerín,4,28.0,0.0,1.0,0.0,0.0,1.0,0.0
140,2024,546,Getafe,47085,Luis Milla,4,360.0,0.0,1.0,3.0,1.0,1.0,0.0
140,2024,547,Girona,547,Donny van de Beek,5,30.0,0.0,1.0,0.0,0.0,1.0,0.0
140,2024,547,Girona,2449,Yangel Herrera,4,269.0,0.0,1.0,2.0,0.0,1.0,0.0
140,2024,547,Girona,47520,Portu,5,151.0,0.0,1.0,0.0,0.0,1.0,0.0
140,2024,547,Girona,162032,Miguel Gutiérrez,5,450.0,0.0,1.0,3.0,2.0,1.0,0.0
140,2024,547,Girona,389602,Iker Almena,2,46.0,0.0,1.0,1.0,0.0,1.0,0.0
140,2024,548,Real Sociedad,23,Sergio Gómez,6,418.0,0.0,1.0,4.0,3.0,1.0,0.0
140,2024,548,Real Sociedad,2202,Hamari Traoré,4,314.0,0.0,1.0,0.0,0.0,1.0,0.0
140,2024,720,Valladolid,8587,Selim Amallah,5,331.0,0.0,1.0,4.0,2.0,1.0,0.0
140,2024,720,Valladolid,104793,Amath Ndiaye,5,189.0,0.0,1.0,3.0,0.0,1.0,0.0
140,2024,727,Osasuna,46746,Ante Budimir,5,328.0,0.0,1.0,3.0,2.0,1.0,0.0
140,2024,727,Osasuna,286639,Bryan Zaragoza,5,335.0,0.0,1.0,5.0,2.0,1.0,0.0
140,2024,728,Rayo Vallecano,18895,Florian Lejeune,5,450.0,0.0,1.0,6.0,3.0,1.0,0.0
140,2024,728,Rayo Vallecano,41552,Ismaila Ciss,5,138.0,0.0,1.0,0.0,0.0,1.0,0.0
140,2024,728,Rayo Vallecano,47414,Gerard Gumbau,5,135.0,0.0,1.0,2.0,1.0,1.0,0.0
140,2024,728,Rayo Vallecano,47554,Adrián Embarba,5,341.0,0.0,1.0,4.0,1.0,1.0,0.0
140,2024,728,Rayo Vallecano,181734,Josep Chavarría,5,182.0,0.0,1.0,1.0,0.0,1.0,0.0
140,2024,529,Barcelona,126,Iñaki Peña,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,127,Marc-André ter Stegen,5,450.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,619,Eric García,4,90.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,2282,Andreas Christensen,1,26.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,2670,Iñigo Martínez,5,450.0,0.0,0.0,1.0,1.0,0.0,0.0
140,2024,529,Barcelona,161928,Alejandro Balde,5,358.0,0.0,0.0,3.0,1.0,0.0,0.0
140,2024,529,Barcelona,181701,Gerard Martín,5,93.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,263530,Pau Víctor,5,35.0,0.0,0.0,2.0,1.0,0.0,0.0
140,2024,529,Barcelona,285909,Pablo Torre,5,9.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,336560,Alex Valle,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,336653,Ander Astralaga,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,340626,Fermín López,3,67.0,0.0,0.0,1.0,0.0,0.0,0.0
140,2024,529,Barcelona,383647,Diego Kochen,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,386859,Hector Fort,5,29.0,0.0,0.0,1.0,0.0,0.0,0.0
140,2024,529,Barcelona,396624,Sergi Domínguez,5,29.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,433396,Marc Bernal,3,244.0,0.0,0.0,1.0,1.0,0.0,0.0
140,2024,529,Barcelona,441232,Guillermo Fernández,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,529,Barcelona,441244,Andrés Cuenca,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,20,Axel Witsel,5,135.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,29,Jan Oblak,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,31,José María Giménez,5,315.0,0.0,0.0,2.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,133,Clément Lenglet,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,2280,César Azpilicueta,5,347.0,0.0,0.0,1.0,1.0,0.0,0.0
140,2024,530,Atletico Madrid,2465,Juan Musso,3,90.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,6503,Nahuel Molina,5,81.0,0.0,0.0,1.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,22225,Reinildo Mandava,5,196.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,42642,Horațiu Moldovan,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,47301,Robin Le Normand,5,450.0,0.0,0.0,2.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,47566,Javi Galán,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,136117,Rodrigo Riquelme,5,191.0,0.0,0.0,3.0,1.0,0.0,0.0
140,2024,530,Atletico Madrid,303378,Javier Serrano,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,315604,Alejandro Iturbe,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,323935,Giuliano Simeone,5,27.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,333379,Antonio Gomis,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,338508,Ilias Kostis,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,530,Atletico Madrid,340154,Arthur Vermeeren,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,531,Athletic Club,898,Ander Herrera,5,109.0,0.0,0.0,1.0,0.0,0.0,0.0
140,2024,531,Athletic Club,30510,Álex Berenguer,5,182.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,531,Athletic Club,47007,Iñigo Ruiz de Galarreta,1,59.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,531,Athletic Club,47271,Yeray Álvarez,4,360.0,0.0,0.0,1.0,0.0,0.0,0.0
140,2024,531,Athletic Club,47273,Yuri Berchiche,4,360.0,0.0,0.0,3.0,1.0,0.0,0.0
140,2024,531,Athletic Club,47276,Íñigo Lekue,5,200.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,531,Athletic Club,47277,Unai Núñez,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,531,Athletic Club,47278,Daniel Vivian,5,369.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,531,Athletic Club,47299,Andoni Gorosabel,5,94.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,531,Athletic Club,47418,Mikel Vesga,5,197.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,531,Athletic Club,179153,Javier Martón Ansó,4,19.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,531,Athletic Club,183848,Julen Agirrezabala,4,270.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2024,531,Athletic Club,190489,Álvaro Djaló,3,84.0,0.0,0.0,0.0,0.0,0.0,0.0
