season,player_id,player_name,matches,minutes_total,minutes_avg,rating_avg,starts,sub_apps
2024,67940,José Gragera,5,304.0,60.8,6.56,4,1
2024,67955,Carles Pérez,4,264.0,66.0,6.725,4,0
2024,67972,Conor Gallagher,4,192.0,64.0,7.166666666666667,2,2
2024,68483,Bertuğ Özgür Yıldırım,2,168.0,84.0,6.9,2,0
2024,70315,Kirian Rodríguez,5,425.0,85.0,6.9,5,0
2024,70476,Moussa Diarra,5,155.0,51.666666666666664,6.25,2,3
2024,70500,Sergi Cardona,5,446.0,89.2,7.32,5,0
2024,72048,Cenk Özkaçar,4,92.0,46.0,6.9,1,3
2024,84086,Robert Navarro,3,126.0,42.0,6.8,1,2
2024,104793,Amath Ndiaye,5,189.0,47.25,6.7,3,2
2024,104821,Jon Guridi,5,317.0,63.4,6.9,4,1
2024,104853,Asier Villalibre,5,85.0,28.333333333333332,6.833333333333333,1,4
2024,107153,Kike Pérez,5,362.0,72.4,6.74,5,0
2024,107194,Antonio Sánchez,6,327.0,54.5,6.866666666666667,3,3
2024,108519,Mateu Morey,2,0.0,,,0,2
2024,109564,Bojan Miovski,4,95.0,47.5,6.75,1,3
2024,119213,Alfon González,4,111.0,55.5,6.6,1,3
2024,119232,Dani Gómez,5,117.0,29.25,6.3999999999999995,1,4
2024,119235,Pedro Ortiz,1,0.0,,,0,1
2024,119742,Juan Iglesias,4,360.0,90.0,7.1,4,0
2024,122230,Manuel Fuster,5,88.0,22.0,6.675,1,4
2024,122233,Marcos André,5,136.0,45.333333333333336,6.3,2,3
2024,122471,Jesús Owono,5,0.0,,,0,5
2024,122657,Randy Nteka,5,179.0,44.75,6.55,2,3
2024,122956,Diego Conde,5,450.0,90.0,7.1,5,0
2024,123047,Sergio González,5,450.0,90.0,6.94,5,0
2024,126936,Samuel Lino,5,340.0,68.0,7.0200000000000005,5,0
2024,127426,Pol Lozano,5,81.0,40.5,6.5,1,4
2024,128398,Oihan Sancet,5,376.0,75.2,6.94,5,0
2024,128478,Walid Cheddira,3,78.0,26.0,6.8,0,3
2024,128582,Jorge de Frutos,5,299.0,59.8,6.720000000000001,4,1
2024,128985,Iker Losada,4,14.0,14.0,6.5,0,4
2024,129657,Enric Franquesa,5,249.0,49.8,6.82,3,2
2024,129718,Jude Bellingham,1,88.0,88.0,7.7,1,0
2024,129791,Fábio Silva,1,27.0,27.0,6.9,0,1
2024,131492,Aritz Arambarri,3,178.0,89.0,6.7,2,1
2024,131535,Alex Suárez,5,380.0,76.0,6.4799999999999995,5,0
2024,131546,Isi Palazón,5,266.0,53.2,6.7,2,3
2024,133110,Tanguy Nianzou,5,180.0,90.0,7.1,2,3
2024,133185,Johnny,4,46.0,23.0,6.8,0,4
2024,133609,Pedri,5,335.0,67.0,7.4799999999999995,4,1
2024,136117,Rodrigo Riquelme,5,191.0,47.75,6.975,2,3
2024,139001,Pablo Ibáñez Lumbreras,5,77.0,19.25,6.625,0,5
2024,146751,Raúl García de Haro,5,123.0,24.6,6.75,1,4
2024,156488,Dani Cárdenas,5,360.0,90.0,6.55,4,1
2024,157988,Sergio Carreira,5,103.0,51.5,6.800000000000001,1,4
2024,158378,Enzo Barrenechea,2,45.0,45.0,6.6,0,2
2024,161894,Naci Ünüvar,2,0.0,,,0,2
2024,161928,Alejandro Balde,5,358.0,71.6,6.9799999999999995,4,1
2024,161931,Arnau Solà,4,0.0,,,0,4
2024,161963,Germán Valera,1,11.0,11.0,6.9,0,1
2024,162026,Marvin Park,5,366.0,73.2,6.4799999999999995,4,1
2024,162028,Juanmi Latasa,3,152.0,50.666666666666664,6.533333333333334,1,2
2024,162032,Miguel Gutiérrez,5,450.0,90.0,7.0,5,0
2024,162122,Adrià Altimira,4,115.0,38.333333333333336,6.466666666666666,1,3
2024,162123,Ilaix Moriba,5,159.0,53.0,6.733333333333333,2,3
2024,162126,Peque Fernández,5,116.0,38.666666666666664,6.5,1,4
2024,162127,Diego López,5,405.0,81.0,6.5200000000000005,5,0
2024,162170,Hugo Novoa Ramos,4,130.0,43.333333333333336,6.466666666666666,1,3
2024,162175,Jesús Vázquez,5,345.0,69.0,6.62,4,1
2024,162434,Alejandro Francés,5,264.0,88.0,6.833333333333333,3,2
2024,162475,Mika Mármol,5,450.0,90.0,6.76,5,0
2024,162686,Antonio Blanco,5,335.0,67.0,6.975,4,1
2024,162712,Óscar Mingueza,5,405.0,81.0,7.5200000000000005,5,0
2024,163060,Adrián Rodríguez,3,0.0,,,0,3
2024,169256,Iker Álvarez,1,0.0,,,0,1
2024,169295,Karl Hein,5,450.0,90.0,7.06,5,0
2024,174918,Loïc Badé,4,270.0,90.0,7.033333333333334,3,1
2024,179139,Leo Román,6,180.0,90.0,7.95,2,4
2024,179153,Javier Martón Ansó,4,19.0,19.0,6.3,0,4
2024,179996,Francisco Vieites,3,0.0,,,0,3
2024,181259,Abel Bretones,5,330.0,82.5,6.825,4,1
2024,181421,Abdessamad Ezzalzouli,4,231.0,57.75,7.175,2,2
2024,181463,Víctor Meseguer,5,155.0,31.0,6.65,1,4
2024,181582,José Copete,6,110.0,27.5,6.833333333333333,1,5
2024,181701,Gerard Martín,5,93.0,23.25,6.800000000000001,1,4
2024,181734,Josep Chavarría,5,182.0,45.5,6.775,1,4
2024,182181,Jesús Areso,5,350.0,87.5,6.6,4,1
2024,182219,Alejandro Baena,4,323.0,80.75,7.725,4,0
2024,182519,Alberto Moleiro,5,349.0,69.8,6.94,4,1
2024,182546,Jon Pacheco,6,330.0,66.0,6.8,4,2
2024,182592,Jorge Herrando,5,270.0,90.0,6.566666666666666,3,2
2024,182603,Jon Ander Olasagasti,6,33.0,16.5,6.5,0,6
