fixture_id,team_id,team_name,ball_possession,blocked_shots,corner_kicks,fouls,goalkeeper_saves,offsides,passes_pct,passes_accurate,red_cards,shots_insidebox,shots_off_goal,shots_on_goal,shots_outsidebox,total_shots,total_passes,yellow_cards,expected_goals,goals_prevented
1208512,532,Valencia,49.0,1.0,3.0,9.0,3.0,3.0,76.0,314.0,,1.0,1.0,0.0,1.0,2.0,415.0,3.0,0.08,-0.18
1208514,547,Girona,60.0,2.0,5.0,10.0,0.0,5.0,91.0,519.0,,8.0,3.0,5.0,2.0,10.0,572.0,,2.29,0.0
1208514,727,Osasuna,40.0,0.0,0.0,9.0,1.0,2.0,84.0,332.0,,0.0,1.0,0.0,1.0,1.0,396.0,,0.04,0.0
1208515,536,Sevilla,55.0,3.0,9.0,10.0,4.0,1.0,85.0,414.0,1.0,6.0,6.0,7.0,10.0,16.0,485.0,1.0,0.74,0.88
1208515,798,Mallorca,45.0,2.0,5.0,15.0,7.0,3.0,82.0,314.0,0.0,8.0,6.0,4.0,4.0,12.0,385.0,0.0,0.9,0.88
1208516,534,Las Palmas,44.0,1.0,2.0,16.0,7.0,1.0,85.0,360.0,,4.0,4.0,2.0,3.0,7.0,422.0,0.0,0.76,0.0
1208516,541,Real Madrid,56.0,7.0,6.0,13.0,1.0,0.0,87.0,477.0,,18.0,10.0,8.0,7.0,25.0,547.0,2.0,2.95,0.0
1208517,529,Barcelona,65.0,11.0,6.0,11.0,3.0,1.0,84.0,444.0,,11.0,6.0,5.0,11.0,22.0,529.0,1.0,1.4,-0.64
1208517,728,Rayo Vallecano,35.0,1.0,6.0,17.0,3.0,4.0,74.0,201.0,,6.0,3.0,4.0,2.0,8.0,270.0,3.0,0.43,-0.64
1208518,533,Villarreal,45.0,4.0,7.0,8.0,4.0,2.0,89.0,402.0,,16.0,11.0,9.0,8.0,24.0,450.0,4.0,3.64,1.25
1208518,538,Celta Vigo,55.0,6.0,4.0,7.0,6.0,1.0,89.0,504.0,,15.0,5.0,9.0,5.0,20.0,565.0,3.0,2.72,1.25
1208519,542,Alaves,47.0,1.0,6.0,13.0,0.0,3.0,75.0,227.0,0.0,11.0,8.0,5.0,3.0,14.0,304.0,4.0,1.54,0.0
1208519,548,Real Sociedad,53.0,3.0,8.0,16.0,3.0,3.0,77.0,270.0,1.0,5.0,6.0,1.0,5.0,10.0,350.0,4.0,1.15,0.0
1208520,537,Leganes,41.0,2.0,4.0,19.0,2.0,2.0,82.0,295.0,,2.0,4.0,1.0,5.0,7.0,360.0,5.0,0.18,0.35
1208520,720,Valladolid,59.0,1.0,4.0,13.0,1.0,0.0,88.0,432.0,,11.0,9.0,2.0,1.0,12.0,493.0,1.0,1.0,0.35
1208521,530,Atletico Madrid,47.0,3.0,2.0,9.0,1.0,2.0,84.0,439.0,,7.0,4.0,2.0,2.0,9.0,524.0,1.0,1.73,0.0
1208521,531,Athletic Club,53.0,2.0,2.0,13.0,1.0,1.0,87.0,508.0,,2.0,5.0,1.0,6.0,8.0,585.0,3.0,0.29,0.0
1208522,529,Barcelona,71.0,5.0,10.0,6.0,1.0,4.0,92.0,545.0,,17.0,7.0,11.0,6.0,23.0,595.0,0.0,3.84,0.0
1208522,720,Valladolid,29.0,1.0,1.0,12.0,4.0,4.0,80.0,197.0,,2.0,2.0,1.0,2.0,4.0,247.0,3.0,0.43,0.0
1208523,546,Getafe,53.0,8.0,4.0,14.0,0.0,2.0,67.0,229.0,,4.0,7.0,1.0,12.0,16.0,340.0,1.0,0.57,0.0
1208523,548,Real Sociedad,47.0,1.0,1.0,16.0,1.0,1.0,67.0,210.0,,0.0,0.0,0.0,1.0,1.0,314.0,1.0,0.02,0.0
1208524,532,Valencia,58.0,8.0,14.0,15.0,1.0,1.0,87.0,419.0,0.0,10.0,9.0,5.0,12.0,22.0,479.0,3.0,0.9,0.0
1208524,533,Villarreal,42.0,3.0,3.0,11.0,4.0,1.0,82.0,306.0,1.0,5.0,4.0,2.0,4.0,9.0,372.0,5.0,0.6,0.0
