fixture_id,team_id,team_name,formation,coach_id,coach_name,player_id,player_name,player_number,player_pos,player_grid,is_starter,ingestion_date,source_file
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,46658,Rubén García,14,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,146751,Raúl García,9,F,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,139001,Pablo Ibáñez,8,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,288800,Iker Benito,27,F,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,46660,Javi Martínez,21,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,348029,D. Stamatakis,32,G,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,47448,Aitor Fernández,13,G,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,182181,Jesús Areso,12,D,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,47419,José Arnáiz,20,F,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,181259,Abel Bretones,23,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208514,727,Osasuna,4-2-3-1,1597,Vicente Moreno,46652,Unai García,4,D,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208514_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,124,J. Cillessen,1,G,1:1,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,162026,Marvin Park,2,D,2:4,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,131535,Álex Suárez,4,D,2:3,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
