fixture_id,team_id,team_name,player_id,player_name,minutes,number,position,rating,captain,substitute,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,ingestion_date,source_file
1208514,547,Girona,158,Paulo Gazzaniga,90.0,13,G,6.9,False,False,,,,,0,0.0,,23.0,,22,,,,,,,,,,,0,0,,,0,0,0.0,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,162434,Alejandro Francés,90.0,16,D,7.2,False,False,,,,,0,0.0,,69.0,,62,3.0,,3.0,8.0,4.0,,,,1.0,4.0,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,47334,David López,90.0,5,D,7.2,False,False,,,,,0,0.0,,95.0,,85,,,,4.0,2.0,1.0,1.0,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,531,Daley Blind,90.0,17,D,7.7,False,False,,,,,0,0.0,,92.0,1.0,90,,,,5.0,3.0,1.0,,,3.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,162032,Miguel Gutiérrez,90.0,3,D,6.9,False,False,1.0,,,,0,0.0,,38.0,1.0,36,3.0,,1.0,12.0,4.0,4.0,1.0,1.0,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,2182,Viktor Tsygankov,81.0,8,M,8.3,False,False,,2.0,1.0,1.0,0,1.0,,47.0,1.0,35,,,,2.0,1.0,1.0,,,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,2449,Yangel Herrera,64.0,21,M,7.2,False,False,,,,,0,1.0,,50.0,1.0,47,2.0,,2.0,10.0,4.0,,,,1.0,4.0,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,1700,Iván Martín,90.0,23,M,6.9,True,False,,,,,0,0.0,,63.0,,58,1.0,,1.0,5.0,2.0,1.0,1.0,2.0,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,2061,Bryan Gil,81.0,20,M,7.9,False,False,,2.0,2.0,1.0,0,0.0,,24.0,1.0,22,,,,5.0,2.0,2.0,1.0,,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,155,Abel Ruíz,74.0,9,F,6.7,False,False,,3.0,1.0,1.0,0,0.0,,22.0,,18,,,,6.0,1.0,1.0,1.0,1.0,,1.0,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,109564,Bojan Miovski,64.0,19,F,6.9,False,False,3.0,,,,0,0.0,,7.0,,7,1.0,,,5.0,1.0,,,3.0,,1.0,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,18949,Oriol Romeu,26.0,14,M,6.6,False,True,,,,,0,0.0,,25.0,,24,,,,3.0,2.0,,,,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
1208514,547,Girona,2617,Cristhian Stuani,26.0,7,F,7.3,False,True,1.0,1.0,1.0,1.0,0,0.0,,5.0,,3,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-29/fixture_1208514_players.json
