fixture_id,team_id,team_name,stat_type,stat_value,ingestion_date,source_file
1208516,534,Las Palmas,Total passes,422,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Passes accurate,360,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Passes %,85%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,expected_goals,0.76,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Shots on Goal,8,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Shots off Goal,10,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Total Shots,25,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Blocked Shots,7,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Shots insidebox,18,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Shots outsidebox,7,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Fouls,13,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Corner Kicks,6,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Offsides,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Ball Possession,56%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Yellow Cards,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Goalkeeper Saves,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Total passes,547,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Passes accurate,477,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Passes %,87%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,expected_goals,2.95,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208519,548,Real Sociedad,Shots on Goal,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Shots off Goal,6,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Total Shots,10,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Blocked Shots,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Shots insidebox,5,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Shots outsidebox,5,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Fouls,16,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Corner Kicks,8,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Offsides,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Ball Possession,53%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Yellow Cards,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Red Cards,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Goalkeeper Saves,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Total passes,350,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Passes accurate,270,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Passes %,77%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,expected_goals,1.15,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Shots on Goal,5,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Shots off Goal,8,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Total Shots,14,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Blocked Shots,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Shots insidebox,11,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Shots outsidebox,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Fouls,13,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Corner Kicks,6,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Offsides,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Ball Possession,47%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Yellow Cards,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Red Cards,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Goalkeeper Saves,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Total passes,304,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Passes accurate,227,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,Passes %,75%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,expected_goals,1.54,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,542,Alaves,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208521,531,Athletic Club,Shots on Goal,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Shots off Goal,5,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Total Shots,8,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Blocked Shots,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Shots insidebox,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Shots outsidebox,6,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Fouls,13,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Corner Kicks,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Offsides,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Ball Possession,53%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Yellow Cards,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Goalkeeper Saves,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Total passes,585,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Passes accurate,508,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,Passes %,87%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,expected_goals,0.29,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,531,Athletic Club,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Shots on Goal,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Shots off Goal,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Total Shots,9,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Blocked Shots,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Shots insidebox,7,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Shots outsidebox,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Fouls,9,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Corner Kicks,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
